"","pvalue","ARI","Gene","TruePvalue","Clustering","Thinning","GeneSymbol"
"299",5.05782688699929e-42,0.378404800038539,"ENSG00000167004",1.49121281189984e-145,"Univariate","Conditional","PDIA3"
"300",7.62637703871218e-10,0.160423209473645,"ENSG00000113810",1.45363637277831e-91,"Univariate","Conditional","SMC4"
"301",0.0200517589744353,0.0424470679556512,"ENSG00000111229",7.66045073531378e-36,"Univariate","Conditional","ARPC3"
"302",0.0862119366784161,0.0158007101457181,"ENSG00000265972",8.5660878923478e-13,"Univariate","Conditional","TXNIP"
"303",1.24285528015516e-13,0.176086756000262,"ENSG00000169045",9.36688645687721e-79,"Univariate","Conditional","HNRNPH1"
"304",5.36459151674989e-25,0.284817923665998,"ENSG00000120802",5.42771097805597e-153,"Univariate","Conditional","TMPO"
"305",0.250485665683329,0.0218846967651351,"ENSG00000162511",1.12733699560399e-47,"Univariate","Conditional","LAPTM5"
"306",0.961251218707849,-0.000363302164922098,"ENSG00000164924",0.000632941942554766,"Univariate","Conditional","YWHAZ"
"307",1.61918426299587e-14,0.300913016494275,"ENSG00000138668",7.08991128558657e-116,"Univariate","Conditional","HNRNPD"
"308",0.305731582789409,0.0515696632952066,"ENSG00000135404",1.14298996168937e-36,"Univariate","Conditional","CD63"
"309",5.21841304060929e-19,0.354404840882442,"ENSG00000156467",1.14192587162689e-128,"Univariate","Conditional","UQCRB"
"310",2.41587054458216e-27,0.354511540021735,"ENSG00000145741",1.71202978338714e-123,"Univariate","Conditional","BTF3"
"311",0.814975242272461,0.0354014058296957,"ENSG00000143669",1.69903053797938e-27,"Univariate","Conditional","LYST"
"312",0.648487814875592,0.0366393481554894,"ENSG00000128016",3.81413372646495e-33,"Univariate","Conditional","ZFP36"
"313",7.45109434869415e-78,0.526919527159234,"ENSG00000241343",9.98192436445234e-167,"Univariate","Conditional","RPL36A"
"314",5.29574754876043e-05,0.159094490101748,"ENSG00000118503",8.14589201320689e-68,"Univariate","Conditional","TNFAIP3"
"315",2.54603622237403e-10,0.224243405038693,"ENSG00000116560",1.31526989210266e-89,"Univariate","Conditional","SFPQ"
"316",0.0927704179310408,0.035661434396566,"ENSG00000101608",4.46918763492447e-10,"Univariate","Conditional","MYL12A"
"317",0.0112561958615787,0.0351282979156686,"ENSG00000102144",6.02310908888725e-48,"Univariate","Conditional","PGK1"
"318",0.202744783610412,0.000884353626475902,"ENSG00000133639",3.57452587716492e-08,"Univariate","Conditional","BTG1"
"319",0.00592489910475936,0.133299672447925,"ENSG00000164754",1.96361968845596e-40,"Univariate","Conditional","RAD21"
"320",2.14876313939299e-14,0.244915567323137,"ENSG00000084234",1.47775568045247e-111,"Univariate","Conditional","APLP2"
"321",3.0055700166479e-34,0.27224871176868,"ENSG00000143870",2.20915206833244e-164,"Univariate","Conditional","PDIA6"
"322",0.290302836560777,0.056529586534939,"ENSG00000223865",2.7483071777891e-77,"Univariate","Conditional","HLA-DPB1"
"323",2.60502748621915e-22,0.274865164756104,"ENSG00000232112",1.38055647198679e-116,"Univariate","Conditional","TMA7"
"324",0.143891112536457,0.0769599682867761,"ENSG00000197746",3.42556080838581e-27,"Univariate","Conditional","PSAP"
"325",3.14956929154952e-05,0.122651657193284,"ENSG00000118816",2.80156080437066e-49,"Univariate","Conditional","CCNI"
"326",0.0023031689936664,0.0553164728435047,"ENSG00000231389",5.15498085152958e-78,"Univariate","Conditional","HLA-DPA1"
"327",4.39522656098608e-09,0.250024006125126,"ENSG00000170571",1.37940898575439e-41,"Univariate","Conditional","EMB"
"328",6.22053026148748e-16,0.304890722399936,"ENSG00000167283",6.72910342689878e-119,"Univariate","Conditional","ATP5MG"
"329",0.314412930388505,0.0202585751119645,"ENSG00000090376",0.933460483587249,"Univariate","Conditional","IRAK3"
"330",8.39283112816224e-30,0.247468422601435,"ENSG00000182718",2.90303843344325e-131,"Univariate","Conditional","ANXA2"
"331",8.13794447816329e-12,0.225737156342283,"ENSG00000101182",8.49492938847827e-97,"Univariate","Conditional","PSMA7"
"332",6.96169013394744e-13,0.188501541498892,"ENSG00000143401",1.03693318099149e-76,"Univariate","Conditional","ANP32E"
"333",1.2894148461859e-08,0.275020099935043,"ENSG00000122565",2.35061943559092e-96,"Univariate","Conditional","CBX3"
"334",3.98711715682948e-23,0.285598183241482,"ENSG00000197766",1.31050902932718e-119,"Univariate","Conditional","CFD"
"335",2.03816092759228e-15,0.247615491934863,"ENSG00000129534",1.06645547212909e-94,"Univariate","Conditional","MIS18BP1"
"336",4.3329968387653e-26,0.279013697325714,"ENSG00000115355",8.09936617346817e-157,"Univariate","Conditional","CCDC88A"
"337",0.0926588840078821,0.0446443554024455,"ENSG00000048740",1.58279282407046e-34,"Univariate","Conditional","CELF2"
"338",1.47990039027195e-27,0.371050349375159,"ENSG00000197451",9.18613124535513e-137,"Univariate","Conditional","HNRNPAB"
"339",0.0851128979413239,0.0358539564405439,"ENSG00000115091",0.279667012813681,"Univariate","Conditional","ACTR3"
"340",2.39818546670655e-21,0.344663761214242,"ENSG00000245910",5.70109245923607e-128,"Univariate","Conditional",NA
"341",3.98522328799424e-08,0.189863671711004,"ENSG00000169564",6.04719111953751e-80,"Univariate","Conditional","PCBP1"
"342",5.77851395863908e-25,0.293337001967939,"ENSG00000128951",4.08520292271799e-128,"Univariate","Conditional","DUT"
"343",0.791037091458096,0.000792464365198423,"ENSG00000160255",3.85868159553977e-17,"Univariate","Conditional","ITGB2"
"344",3.22346494440558e-06,0.121336140929202,"ENSG00000082074",5.45930099840017e-31,"Univariate","Conditional","FYB1"
